,id,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
105,7LdmWwc051HI5Y6O6P9GkK,Ridiculous Thoughts - Remastered 2020,No Need To Argue (Deluxe),The Cranberries,2020-11-13,273426,33,0.427,0.00497,0.427,0.824,1.56e-05,0.092,-6.107,0.0411,102.131,4
106,3BEZCNZSmVv30vsMNSOCri,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Unplugged (Deluxe Edition),Eric Clapton,1992-08-25,289026,69,0.558,0.321,0.558,0.524,0.000952,0.94,-11.626,0.0459,93.654,4
107,0VokHXtSNOpnlMWDMT9kPD,Walking in My Shoes - 2006 Remaster,Songs of Faith and Devotion (2006 Remaster),Depeche Mode,1993-03-22,326106,46,0.535,0.0888,0.535,0.702,8.54e-06,0.302,-9.804,0.0294,93.083,4
108,6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,The Better Life,3 Doors Down,2000,233933,77,0.545,0.00664,0.545,0.865,1.1e-05,0.168,-5.708,0.0286,99.009,4
109,7wpYSigAhQeZp3cdsMQ3Af,Glycerine,Sixteen Stone (Remastered),Bush,2014-10-14,266493,62,0.437,0.0371,0.437,0.337,0.000946,0.0981,-11.439,0.0326,114.239,4
110,3gUFcAz4TdQ2vA5CaNNw5e,Circle,Sister Sweetly,Big Head Todd and The Monsters,1993-02-23,370466,33,0.525,0.0141,0.525,0.728,0.000211,0.695,-7.758,0.0381,152.022,4
111,3lcP1anKWxdp6IRNF9vGhu,Superman's Song,The Ghosts That Haunt Me,Crash Test Dummies,1991-04-05,271600,41,0.406,0.613,0.406,0.124,1.08e-06,0.108,-19.825,0.0342,168.4,4
112,21jEuMn2lf37715rwjow2M,The Freshmen,Villains,The Verve Pipe,1996-03-25,269466,61,0.571,0.0757,0.571,0.505,1.04e-05,0.109,-9.312,0.0238,99.562,4
113,0yoSMnMxgBw9NH6QIN6ZFT,Jesus Freak - Owl City Remix,Jesus Freak (Owl City Remix),DC Talk,2021-01-01,259083,40,0.731,0.0323,0.731,0.892,0.000398,0.287,-2.901,0.0492,104.499,4
114,0z1b34WikhOH9ZxU8QDWcv,One Headlight,Bringing Down The Horse,The Wallflowers,1996-01-01,312626,69,0.701,0.000655,0.701,0.539,0.005,0.0589,-8.968,0.0277,107.531,4
115,5l6hpyTGBK0LAAxgPnqTQL,Look After You,How To Save A Life,The Fray,2005-09-13,266773,64,0.447,0.0575,0.447,0.592,4.47e-06,0.13,-3.015,0.0319,78.039,4
116,7yuWHdSLrknIYMgbkdmPOS,Heartless,Through the Years: The Best of The Fray,The Fray,2016-11-04,255906,48,0.394,0.675,0.394,0.693,0.0,0.115,-6.993,0.0938,164.004,4
117,1v76a0cGfdWYWdSP9IUCiw,Who Am I?,Autopilot,The Samples,1994-09-12,293093,5,0.663,0.149,0.663,0.597,0.171,0.0399,-8.668,0.0267,120.099,4
118,2wmEryA2YLaFwFvA63n3O2,Don't Take The Girl,Not A Moment Too Soon,Tim McGraw,1994-03-22,249360,58,0.439,0.279,0.439,0.454,0.0,0.123,-8.669,0.0308,204.263,4
119,0Anb7B9hNq5yXUAy4DBLLU,No Woman No Cry,Legend (Deluxe Edition),Bob Marley & The Wailers,1984-05-01,251066,52,0.863,0.0699,0.863,0.433,0.0,0.0553,-11.1,0.0383,97.067,4
120,1ju7EsSGvRybSNEsRvc7qY,Simple Man,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd,1973-01-01,356626,68,0.422,0.0366,0.422,0.752,0.000119,0.129,-8.682,0.0449,120.471,4
121,3pRaLNL3b8x5uBOcsgvdqM,Hallelujah,Grace,Jeff Buckley,1994,413826,71,0.324,0.931,0.324,0.136,0.00117,0.176,-10.33,0.0318,97.256,3
122,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,84,0.358,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,85.043,4
123,4Of7rzpRpV1mWRbhp5rAqG,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,220492,82,0.736,0.946,0.736,0.308,0.0,0.186,-7.83,0.0677,111.202,4
124,6gxycjJNMgmAyfzUXBN80P,Goodbye My Lover,Back to Bedlam,James Blunt,2005-08-08,258653,66,0.432,0.953,0.432,0.261,0.00342,0.0903,-12.591,0.0512,89.567,4
125,15NNe4V26FOiwagrNb4lbS,"Once Upon a December (From The ""Anastasia"" Soundtrack)",The Essential Liz Callaway,Liz Callaway,2015-11-24,168733,55,0.268,0.646,0.268,0.305,2.5e-05,0.169,-12.608,0.0379,135.806,3
126,2bpZ4vkTOyTTmy2yI2hrip,Broken Angel,All We Have Left,Boyce Avenue,2010-06-15,321226,34,0.338,0.0609,0.338,0.758,0.0,0.366,-3.739,0.0345,165.822,3
127,1hk75vzQeF2UfPwTUbVWLn,The Distance,Fashion Nugget,Cake,1996,179653,53,0.463,0.00796,0.463,0.749,0.00219,0.0558,-8.118,0.0891,183.048,4
128,1ZxRMkUg6O3N1KcQWLc2rg,How Does A Duck Know?,God Shuffled His Feet,Crash Test Dummies,1993-04-05,222426,31,0.69,0.0017,0.69,0.805,0.0283,0.162,-6.454,0.0405,98.02,4
